ride_length_minutes,Count_of_ride_length_minutes
1.02-11.02,294555
11.02-21.02,145937
21.02-31.02,54190
31.02-41.02,23774
41.02-51.02,11794
51.02-61.02,6092
61.02-71.02,3727
71.02-81.02,2530
81.02-91.02,1835
91.02-101.02,1361
101.02-111.02,961
111.02-121.02,782
121.02-131.02,587
131.02-141.02,472
141.02-151.02,372
151.02-161.02,336
161.02-171.02,295
171.02-181.02,230
181.02-191.02,157
191.02-201.02,117
201.02-211.02,97
211.02-221.02,99
221.02-231.02,71
231.02-241.02,58
241.02-251.02,49
251.02-261.02,49
261.02-271.02,36
271.02-281.02,44
281.02-291.02,33
291.02-301.02,19
301.02-311.02,33
311.02-321.02,17
321.02-331.02,21
331.02-341.02,19
341.02-351.02,14
351.02-361.02,13
361.02-371.02,9
371.02-381.02,13
381.02-391.02,4
391.02-401.02,13
401.02-411.02,14
411.02-421.02,10
421.02-431.02,11
431.02-441.02,11
441.02-451.02,6
451.02-461.02,10
461.02-471.02,17
471.02-481.02,29
481.02-491.02,15
491.02-501.02,7
501.02-511.02,10
511.02-521.02,15
521.02-531.02,6
531.02-541.02,6
541.02-551.02,5
551.02-561.02,9
561.02-571.02,4
571.02-581.02,9
581.02-591.02,7
591.02-601.02,9
601.02-611.02,6
611.02-621.02,6
621.02-631.02,8
631.02-641.02,6
641.02-651.02,10
651.02-661.02,1
661.02-671.02,3
671.02-681.02,3
681.02-691.02,7
691.02-701.02,5
701.02-711.02,3
711.02-721.02,5